unix_time,frontend_0_100,sent_0_100,vjoy_axis,sim_connect
1778446192.527121,8.166928,8.166928,,0.0
1778446192.569368,13.392469,13.392469,,0.0
1778446192.571315,10.786897,10.786897,,0.0
1778446192.578771,15.835373,15.835373,,0.0
1778446192.610254,18.085128,18.085128,,0.0
1778446192.634287,20.164913,20.164913,,0.0
1778446192.635291,22.045123,22.045123,,0.0
1778446192.673129,23.799709,23.799709,,0.0
1778446192.675631,25.493744,25.493744,,0.0
1778446192.676131,27.084494,27.084494,,0.0
1778446192.719843,28.634355,28.634355,,0.0
1778446192.721352,30.198232,30.198232,,0.0
1778446192.726370,31.674444,31.674444,,0.0
1778446192.772585,34.49869,34.49869,,0.0
1778446192.775107,33.123511,33.123511,,0.0
1778446192.800822,35.808847,35.808847,,0.0
1778446192.801837,36.961785,36.961785,,0.0
1778446192.810932,37.976371,37.976371,,0.0
1778446192.854250,38.869207,38.869207,,0.0
1778446192.874380,40.346314,40.346314,,0.0
1778446192.904636,41.490185,41.490185,,0.0
1778446193.023947,42.375999,42.375999,,0.0
1778446193.024449,43.344537,43.344537,,0.0
1778446193.052875,44.17402,44.17402,,0.0
1778446193.206479,45.023396,45.023396,,0.0
1778446196.257857,45.837387,45.837387,,0.0
1778446196.290114,46.975696,46.975696,,0.0
1778446196.335827,48.183979,48.183979,,0.0
1778446196.363434,49.583673,49.583673,,0.0
1778446196.390899,50.999596,50.999596,,0.0
1778446196.423076,52.472087,52.472087,,0.0
1778446196.428123,53.275437,53.275437,,0.0
1778446196.479624,54.798498,54.798498,,0.0
1778446196.501110,56.209957,56.209957,,0.0
1778446196.552030,57.346991,57.346991,,0.0
1778446196.576919,58.22751,58.22751,,0.0
1778446196.690568,59.190257,59.190257,,0.0
1778446196.691072,60.014782,60.014782,,0.0
1778446196.855617,60.85908,60.85908,,0.0
1778446197.913746,61.67672,61.67672,,0.0
1778446197.921327,62.626452,62.626452,,0.0
1778446197.956017,63.969924,63.969924,,0.0
1778446198.016087,65.386309,65.386309,,0.0
1778446198.019094,66.709158,66.709158,,0.0
1778446198.067157,67.827572,67.827572,,0.0
1778446198.110448,68.693672,68.693672,,0.0
1778446198.138962,69.773374,69.773374,,0.0
1778446198.265983,71.434077,71.434077,,0.0
1778446198.266483,70.603161,70.603161,,0.0
1778446198.313048,72.361152,72.361152,,0.0
1778446198.424917,73.182412,73.182412,,0.0
1778446199.005754,74.0,74.0,,0.0
1778446199.016103,74.8516,74.8516,,0.0
1778446199.059461,76.401079,76.401079,,0.0
1778446199.081163,77.28295,77.28295,,0.0
1778446199.088216,78.208996,78.208996,,0.0
1778446199.125908,79.173916,79.173916,,0.0
1778446199.129441,80.173046,80.173046,,0.0
1778446199.134466,81.102281,81.102281,,0.0
1778446199.167598,82.020007,82.020007,,0.0
1778446199.171716,82.927606,82.927606,,0.0
1778446199.307891,84.479138,84.479138,,0.0
1778446199.315476,87.082678,87.082678,,0.0
1778446199.315977,85.868645,85.868645,,0.0
1778446199.315977,88.116826,88.116826,,0.0
1778446199.353318,88.91767,88.91767,,0.0
1778446199.390098,89.793303,89.793303,,0.0
1778446199.456198,90.643219,90.643219,,0.0
1778446199.508017,92.646816,92.646816,,0.0
1778446199.513072,91.644109,91.644109,,0.0
1778446199.516083,93.529198,93.529198,,0.0
1778446199.555970,94.989011,94.989011,,0.0
1778446199.591144,96.11949,96.11949,,0.0
1778446199.627071,96.994933,96.994933,,0.0
1778446199.677599,97.952131,97.952131,,0.0
1778446199.835534,98.771902,98.771902,,0.0
1778446199.893195,99.611334,99.611334,,0.0
1778446201.404873,96.122,96.122,,0.0
1778446201.406882,90.23736,90.23736,,0.0
1778446201.407382,80.108877,80.108877,,0.0
1778446201.433003,70.495812,70.495812,,0.0
1778446201.434002,54.591956,54.591956,,0.0
1778446201.434501,62.036314,62.036314,,0.0
1778446201.462087,48.040922,48.040922,,0.0
1778446201.466197,42.276011,42.276011,,0.0
1778446201.467203,37.20289,37.20289,,0.0
1778446201.495617,25.352728,25.352728,,0.0
1778446201.496116,32.738543,32.738543,,0.0
1778446201.503676,22.3104,22.3104,,0.0
1778446201.504680,28.809918,28.809918,,0.0
1778446201.528697,19.633152,19.633152,,0.0
1778446201.529701,17.277174,17.277174,,0.0
1778446201.567571,15.203913,15.203913,,0.0
1778446201.575602,13.379444,13.379444,,0.0
1778446201.588273,11.77391,11.77391,,0.0
1778446201.596806,10.361041,10.361041,,0.0
1778446201.627947,9.117716,9.117716,,0.0
1778446201.635988,8.02359,8.02359,,0.0
1778446201.660319,7.060759,7.060759,,0.0
1778446201.660823,6.213468,6.213468,,0.0
1778446201.725705,4.81171,4.81171,,0.0
1778446201.748715,3.726188,3.726188,,0.0
1778446201.758216,2.88556,2.88556,,0.0
1778446201.933228,1.037747,1.037747,,0.0
1778446201.934290,1.966428,1.966428,,0.0
1778446202.118734,0.223812,0.223812,,0.0
1778446202.232308,0.0,0.0,,0.0
1778446202.982661,1.1,1.1,,0.0
1778446202.982661,3.868,3.868,,0.0
1778446202.983770,8.05384,8.05384,,0.0
1778446203.016036,20.760894,20.760894,,0.0
1778446203.017039,14.387379,14.387379,,0.0
1778446203.047137,27.919586,27.919586,,0.0
1778446203.048387,35.669236,35.669236,,0.0
1778446203.048890,43.388928,43.388928,,0.0
1778446203.108150,61.421139,61.421139,,0.0
1778446203.109150,56.160386,56.160386,,0.0
1778446203.109649,50.182256,50.182256,,0.0
1778446203.116669,66.050603,66.050603,,0.0
1778446203.145844,70.12453,70.12453,,0.0
1778446203.146344,73.709587,73.709587,,0.0
1778446203.172981,76.864436,76.864436,,0.0
1778446203.213419,82.083819,82.083819,,0.0
1778446203.213919,79.640704,79.640704,,0.0
1778446203.213919,84.233761,84.233761,,0.0
1778446203.243726,86.12571,86.12571,,0.0
1778446203.250244,87.790625,87.790625,,0.0
1778446203.290512,89.25575,89.25575,,0.0
1778446203.296962,90.54506,90.54506,,0.0
1778446203.298466,91.679653,91.679653,,0.0
1778446203.329648,92.678094,92.678094,,0.0
1778446203.364132,93.556723,93.556723,,0.0
1778446203.374139,95.010326,95.010326,,0.0
1778446203.507461,96.135997,96.135997,,0.0
1778446203.507961,97.960842,97.960842,,0.0
1778446203.508461,97.007716,97.007716,,0.0
1778446203.565166,98.777126,98.777126,,0.0
1778446203.715322,99.612987,99.612987,,0.0
1778446204.048336,94.564,94.564,,0.0
1778446204.123018,89.21632,89.21632,,0.0
1778446204.124018,81.810362,81.810362,,0.0
1778446204.124519,72.493118,72.493118,,0.0
1778446204.124519,63.793944,63.793944,,0.0
1778446204.133055,56.138671,56.138671,,0.0
1778446204.133556,49.40203,49.40203,,0.0
1778446204.213552,38.256932,38.256932,,0.0
1778446204.215079,33.6661,33.6661,,0.0
